Exchange;PER90;Yield90;PER91;Yield91;PER92;Yield92;PER93;Yield93;PER94;Yield94;PER95;Yield95;PER96;Yield96;PER97;Yield97;PER98;Yield98;PER99;Yield99;PER00;Yield00;PER01;Yield01;PER02;Yield02;PER03;Yield03
Irish;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19.1;2;21.3;1.6;17.4;1.7;19.9;1.4;16.4;1.7;11.4;1.7;14.5;2.3
Istanbul;23.3;2.6;13.6;4.7;11.4;7.2;25.8;1.9;24.8;2.8;9.2;3.6;12.2;2.9;24.4;1.6;8.8;3.4;37.5;0.7;16.1;1.3;824.4;1;27;1.2;12.3;0.9
JSE South Africa;NA;4.1;NA;3.3;NA;3.6;NA;2.4;25.3;2.2;21.8;2.3;18.7;2.5;16.8;2.7;19.4;3.3;16.9;2;13.5;2.6;13.3;2.9;12.6;4;11.3;3.4
Ljubljana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.5;6.4;14.6;3.3;17.5;2.8;16.5;2.7;14;3.4;14.6;3.1;16.3;2;17.4;1.8
London;10.6;5.7;14.2;5;17.5;4.3;24.8;3.9;17.4;4.3;15.6;3.9;15.9;3.9;19.2;3.2;23.3;2.8;30.5;2;23.3;2.2;20.3;2.6;17.7;3.6;18.3;3.2
Luxembourg;NA;4;NA;3.9;NA;4;NA;2;NA;3.2;NA;3.3;NA;3;NA;2.2;NA;2.3;NA;2.1;NA;2;NA;2.9;NA;4.4;12.8;1.8
Malta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.5;37.4;1.9;NA;NA;NA;NA;NA;NA;NA;NA
Oslo;12.9;1.9;9.9;2;14.1;1.8;12.1;1.3;11.2;1.7;NA;2.3;16.7;2.2;16.7;2.5;16.8;2.1;26.2;1.7;NA;1.9;NA;2;NA;3.9;NA;2.8
Spanish Exchanges (BME);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.8;2;16.2;2.7;19.4;3.1
Stockholmsborsen;11;3.6;22;3.2;60;2.7;31;1.4;14;2;11;2.8;17;2.4;22;2.1;21;2.2;37;1.4;26;1.7;32;1.6;25.6;2.8;NA;NA
Swiss Exchange;NA;3;NA;2.6;12.7;2.2;17.9;1.5;13.4;1.5;16.8;1.5;38.2;1.5;28.7;1.1;19.7;1.5;19.2;1.6;17;1.7;21;1.9;29.6;2.8;1;2.1
Tehran;NA;NA;NA;NA;20;NA;25;NA;4.4;22.8;NA;NA;8.4;NA;4.9;NA;3;NA;3.7;20.2;4.7;17.6;5.1;14.6;6.5;11.9;10.7;7.1
Tel-Aviv ;27.4;1.9;21.7;1.6;22.3;0.9;24;1.3;21.8;1.9;16.8;2.2;13.6;NA;13.6;2.4;13.4;5.5;17;4;16.2;2.5;NA;1.9;66.9;1.8;33.5;NA
Warsaw;NA;NA;3.5;NA;3.1;NA;33.2;NA;8.8;0.3;7.8;2.3;14.8;1.2;16.1;1.3;16.3;0.9;36.2;0.9;15.9;0.8;65.9;1.3;31.2;1.3;49.9;1.6
Wiener Boerse;20;1.5;17.8;2;15.7;2.2;27;1.4;18.4;1.5;14.5;1.9;15.5;2;13.7;1.9;12.7;2.1;15;2.1;11.6;2.3;16.9;2.7;15.6;2.1;15;2.1
Australian;11;6.8;19.1;3.8;18.8;3.8;21.6;3;14.8;4;16.3;4;17.2;3.7;19.5;3.9;20.8;3.5;21.1;3.2;21.3;3.4;25;3.3;37;4;23.9;3.8
Bursa Malaysia;25.5;2.6;24.2;2.6;22.8;2;48.2;1.2;28.5;1.6;24.5;1.5;28.6;1.4;10.3;3.1;-130.6;2.7;-32.4;1.6;22.1;2.2;65.4;2.5;33.1;2.7;31.7;2.7
Colombo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;3.2;9;4.5;6.6;5.2;5.2;6.5;7.5;6.8;12.1;4.3;11.1;NA
Hong Kong;9.9;5.3;13;4.2;13.1;4.1;21.6;2.3;10.7;4.1;11.4;3.6;16.7;2.9;12.1;3.5;10.7;3.7;26.7;2.2;12.8;2;12.2;2.9;14.9;3.4;19;2.9
Jakarta;NA;NA;NA;NA;14.3;3.3;28.6;1.6;31.8;3.6;21.6;5.1;19.6;4.4;10.6;NA;4.1;NA;9.5;NA;5.9;NA;8.7;NA;7.9;NA;8;NA
Korea;12.2;2.4;10.4;2.8;10.8;2;16;1.2;21.8;1;16;1.2;16;1.6;NA;2.8;27.8;0.8;34.6;0.5;15.4;2.4;29.3;1.7;15.6;1.8;10.1;2.1
Mumbai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.6;1.8;15.2;2.1;15;2.1
National Stock Exchange India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.4;1.5;14.6;2.4;19.2;1.5
New Zealand;7;7.6;14;5.4;13.6;4.9;23.6;3.1;13.2;4.2;11.7;4.2;14.8;4.3;15.3;4.7;37.6;4;16.8;3.8;15;3.8;13.1;4.6;18.4;6;16.8;6.2
Osaka;39.8;0.7;37.8;0.8;36.7;1;64.9;0.9;79.5;0.8;86.5;0.9;79.3;0.8;41.6;1.2;122.1;1.1;NA;0.8;534.7;0.9;464.2;NA;NA;NA;316.5;NA
Philippine;14.7;3.7;13.1;4.9;12.4;1.2;32.6;0.3;23.6;0.4;19.1;0.6;26.1;0.7;9.5;1.3;15.8;0.5;16.2;0.7;14.2;1.3;18.2;1.2;14.4;NA;19.2;NA
Shanghai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37.7;0.8;34.4;1.2;36.5;1.3
Shenzhen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39.8;1;37;1;36.2;1
Singapore;15.8;NA;20.3;NA;19.5;NA;37.3;NA;26.2;NA;24;NA;21.7;NA;15.2;NA;19;1.8;99.2;0.9;20.9;2.4;16.8;2.6;21.2;2.6;24.9;2.9
Taiwan;31.1;1.1;32.1;2.6;22.9;4.3;39.7;2.2;33.5;2.3;21.3;3.9;29;3.4;27;2.9;26.1;4.5;47.7;2.7;14.8;5.4;41.6;4.9;41.8;3.7;24.8;3.1
Thailand;13.8;3.6;15.6;3.6;16.3;2.9;26.1;2;19.5;1.9;19.8;2.3;12;3.5;6.6;6;10;1.3;14.7;0.6;5.5;1.8;4.9;2.1;7;2.7;13.7;1.8
Tokyo;39.8;0.6;37.8;0.7;36.7;0.9;64.9;0.8;79.5;0.8;86.5;0.9;79.3;0.8;37.6;1;103.1;1.2;(loss);0.9;85.5;1;61.4;1.3;NA;1.3;122.1;1.3
