%Y-%m-%d-;NYSE
1966-10-27;43.15
1966-10-28;43.17
1966-10-31;43.16
1966-11-01;43.49
1966-11-02;43.54
1966-11-03;43.39
1966-11-04;43.53
1966-11-07;43.52
1966-11-09;43.86
1966-11-10;44.15
1966-11-11;44.19
1966-11-14;43.92
1966-11-15;44.08
1966-11-16;44.46
1966-11-17;44.16
1966-11-18;43.89
1966-11-21;43.28
1966-11-22;43.08
1966-11-23;43.4
1966-11-25;43.75
1966-11-28;43.71
1966-11-29;43.56
1966-11-30;43.59
1966-12-01;43.42
1966-12-02;43.44
1966-12-05;43.48
1966-12-06;43.78
1966-12-07;44.22
1966-12-08;44.4
1966-12-09;44.5
1966-12-12;44.93
1966-12-13;44.81
1966-12-14;44.8
1966-12-15;44.33
1966-12-16;44.34
1966-12-19;44.22
1966-12-20;44.04
1966-12-21;44.28
1966-12-22;44.46
1966-12-23;44.35
1966-12-27;44.12
1966-12-28;43.9
1966-12-29;43.74
1966-12-30;43.72
1967-01-03;43.74
1967-01-04;43.82
1967-01-05;44.38
1967-01-06;44.71
1967-01-09;45.08
1967-01-10;45.08
1967-01-11;45.45
1967-01-12;45.72
1967-01-13;46.04
1967-01-16;45.96
1967-01-17;46.46
1967-01-18;46.72
1967-01-19;46.74
1967-01-20;46.91
1967-01-23;47.08
1967-01-24;47.17
1967-01-25;46.85
1967-01-26;46.88
1967-01-27;47.08
1967-01-30;47.35
1967-01-31;47.3
1967-02-01;47.24
1967-02-02;47.39
1967-02-03;47.73
1967-02-06;47.64
1967-02-07;47.54
1967-02-08;47.96
1967-02-09;47.77
1967-02-10;47.87
1967-02-13;47.94
1967-02-14;48.26
1967-02-15;48.29
1967-02-16;48.08
1967-02-17;48.09
1967-02-20;47.84
1967-02-21;47.84
1966-02-23;47.89
1967-02-24;47.9
1967-02-27;47.39
1967-02-28;47.56
1967-03-01;48.03
1967-03-02;48.3
1967-03-03;48.37
1967-03-06;48.3
1967-03-07;48.36
1967-03-08;48.43
1967-03-09;48.57
1967-03-10;48.75
1967-03-13;48.52
1967-03-14;48.47
1967-03-15;48.9
1967-03-16;49.35
1967-03-17;49.44
1967-03-20;49.43
1967-03-21;49.3
1967-03-22;49.44
1967-03-23;49.79
1967-03-27;49.77
1967-03-28;49.81
1967-03-29;49.75
1967-03-30;49.77
1967-03-31;49.52
1967-04-03;48.98
1967-04-04;48.99
1967-04-05;49.29
1967-04-06;49.4
1967-04-07;49.1
1967-04-10;48.5
1967-04-11;48.84
1967-04-12;48.79
1967-04-13;49.11
1967-04-14;49.62
1967-04-17;49.95
1967-04-18;50.36
1967-04-19;50.42
1967-04-20;50.53
1967-04-21;50.65
1967-04-24;50.81
1967-04-25;51.08
1967-04-26;51.03
1967-04-27;51.45
1967-04-28;51.54
1967-05-01;51.51
1967-05-02;51.47
1967-05-03;51.6
1967-05-04;51.79
1967-05-05;51.85
1967-05-08;51.93
1967-05-09;51.4
1967-05-10;51.31
1967-05-11;51.56
1967-05-12;51.45
1967-05-15;51.06
1967-05-16;51.29
1967-05-17;51.15
1967-05-18;51.04
1967-05-19;50.83
1967-05-22;50.66
1967-05-23;50.44
1967-05-24;49.85
1967-05-25;50.34
1967-05-26;50.25
1967-05-29;49.99
1967-05-31;49.17
1967-06-01;49.77
1967-06-02;49.56
1967-06-05;48.74
1967-06-06;49.69
1967-06-07;50.13
1967-06-08;50.41
1967-06-09;50.55
1967-06-12;50.85
1967-06-13;51.15
1967-06-14;51.06
1967-06-15;51.14
1967-06-16;51.16
1967-06-19;51.17
1967-06-20;51.15
1967-06-21;51.03
1967-06-22;50.92
1967-06-23;50.94
1967-06-26;50.74
1967-06-27;50.56
1967-06-28;50.59
1967-06-29;50.35
1967-06-30;50.27
1967-07-03;50.43
1967-07-05;50.69
1967-07-06;50.67
1967-07-07;50.91
1967-07-10;51.16
1967-07-11;51.39
1967-07-12;51.39
1967-07-13;51.42
1967-07-14;51.6
1967-07-17;51.63
1967-07-18;52
1967-07-19;52.06
1967-07-20;52.14
1967-07-21;52.18
1967-07-24;52
1967-07-25;52
1967-07-26;52.22
1967-07-27;52.4
1967-07-28;52.5
1967-07-31;52.65
1967-08-01;52.97
1967-08-02;53.16
1967-08-03;53.09
1967-08-04;53.22
1967-08-07;53.08
1967-08-08;53.13
1967-08-09;53.19
1967-08-10;53.05
1967-08-11;52.81
1967-08-14;52.5
1967-08-15;52.56
1967-08-16;52.44
1967-08-17;52.51
1967-08-18;52.59
1967-08-21;52.32
1967-08-22;52.04
1967-08-23;51.98
1967-08-24;51.7
1967-08-25;51.49
1967-08-28;51.46
1967-08-29;51.6
1967-08-30;51.73
1967-08-31;52.07
1967-09-01;52.15
1967-09-05;52.42
1967-09-06;52.51
1967-09-07;52.49
1967-09-08;52.49
1967-09-11;52.58
1967-09-12;52.84
1967-09-13;53.36
1967-09-14;53.44
1967-09-15;53.48
1967-09-18;53.61
1967-09-19;53.37
1967-09-20;53.39
1967-09-21;53.69
1967-09-22;53.85
1967-09-25;54.14
1967-09-26;53.66
1967-09-27;53.69
1967-09-28;53.72
1967-09-29;53.71
1967-10-02;53.51
1967-10-03;53.68
1967-10-04;53.61
1967-10-05;53.74
1967-10-06;54.05
1967-10-09;54.16
1967-10-10;53.78
1967-10-11;53.53
1967-10-12;53.2
1967-10-13;53.32
1967-10-16;52.9
1967-10-17;52.8
1967-10-18;52.93
1967-10-19;52.99
1967-10-20;52.93
1967-10-23;52.7
1967-10-24;52.41
1967-10-25;52.48
1967-10-26;52.71
1967-10-27;52.72
1967-10-30;52.63
1967-10-31;52.13
1967-11-01;51.47
1967-11-02;51.24
1967-11-03;50.96
1967-11-06;50.78
1967-11-08;50.6
1967-11-09;50.81
1967-11-10;51.12
1967-11-13;50.97
1967-11-14;50.6
1967-11-15;50.81
1967-11-16;51.3
1967-11-17;51.47
1967-11-20;50.78
1967-11-21;51.63
1967-11-22;51.96
1967-11-24;52.1
1967-11-27;52.26
1967-11-28;52.47
1967-11-29;52.5
1967-11-30;52.26
1967-12-01;52.52
1967-12-04;52.86
1967-12-05;52.91
1967-12-06;53.11
1967-12-07;53.07
1967-12-08;53.02
1967-12-11;52.92
1967-12-12;52.89
1967-12-13;53.09
1967-12-14;53.18
1967-12-15;52.89
1967-12-18;52.75
1967-12-19;52.71
1967-12-20;53
1967-12-21;53.14
1967-12-22;53.06
1967-12-26;53.14
1967-12-27;53.51
1967-12-28;53.5
1967-12-29;53.83
1968-01-02;53.68
1968-01-03;53.4
1968-01-04;53.25
1968-01-05;53.57
1968-01-08;53.96
1968-01-09;53.9
1968-01-10;53.95
1968-01-11;54.07
1968-01-12;54.17
1968-01-15;54.07
1968-01-16;53.75
1968-01-17;53.7
1968-01-18;53.68
1968-01-19;53.5
1968-01-22;52.78
1968-01-23;52.53
1968-01-24;52.31
1968-01-25;52.35
1968-01-26;52.45
1968-01-29;52.37
1968-01-30;52.08
1968-01-31;51.66
1968-02-01;51.82
1968-02-02;51.67
1968-02-05;51.42
1968-02-06;51.44
1968-02-07;51.52
1968-02-08;50.83
1968-02-09;50.22
1968-02-13;49.72
1968-02-14;50.32
1968-02-15;50.42
1968-02-16;50.21
1968-02-19;50.38
1968-02-20;50.68
1968-02-21;50.91
1968-02-23;50.68
1968-02-26;50.27
1968-02-27;50.45
1968-02-28;50.2
1968-02-29;49.77
1968-03-01;49.58
1968-03-04;48.86
1968-03-05;48.7
1968-03-06;49.55
1968-03-07;49.47
1968-03-08;49.43
1968-03-11;50.07
1968-03-12;50.16
1968-03-13;50.08
1968-03-14;49.07
1968-03-15;49.47
1968-03-18;49.76
1968-03-19;49.45
1968-03-20;49.42
1968-03-21;49.04
1968-03-22;49.05
1968-03-25;48.99
1968-03-26;49.33
1968-03-27;49.75
1968-03-28;49.71
1968-03-29;50.05
1968-04-01;51.27
1968-04-02;51.38
1968-04-03;51.84
1968-04-04;52.07
1968-04-05;51.79
1968-04-08;52.71
1968-04-10;53.11
1968-04-11;53.6
1968-04-15;53.69
1968-04-16;53.74
1968-04-17;53.9
1968-04-18;54.06
1968-04-19;53.39
1968-04-22;53.12
1968-04-23;53.77
1968-04-24;53.92
1968-04-25;54.08
1968-04-26;54.26
1968-04-29;54.41
1968-04-30;54.49
1968-05-01;54.67
1968-05-02;55.03
1968-05-03;55.06
1968-05-06;54.94
1968-05-07;55.25
1968-05-08;55.29
1968-05-09;55
1968-05-10;55.14
1968-05-13;55.01
1968-05-14;54.98
1968-05-15;54.96
1968-05-16;54.71
1968-05-17;54.38
1968-05-20;54.13
1968-05-21;54.42
1968-05-22;54.6
1968-05-23;54.53
1968-05-24;54.63
1968-05-27;54.56
1968-05-28;54.9
1968-05-29;55.07
1968-05-31;55.5
1968-06-03;56.19
1968-06-04;56.47
1968-06-05;56.22
1968-06-06;56.72
1968-06-07;57.11
1968-06-10;57.18
1968-06-11;57.32
1968-06-13;57.1
1968-06-14;57.02
1968-06-17;56.41
1968-06-18;56.35
1968-06-20;56.67
1968-06-21;56.77
1968-06-24;56.58
1968-06-25;56.37
1968-06-27;56.28
1968-06-28;56.08
1968-07-01;55.96
1968-07-02;56.19
1968-07-03;56.88
1968-07-08;57.48
1968-07-09;57.61
1968-07-11;57.69
1968-07-12;57.65
1968-07-15;57.56
1968-07-16;57.26
1968-07-18;57.09
1968-07-19;56.54
1968-07-22;55.81
1968-07-23;55.7
1968-07-25;54.98
1968-07-26;55.16
1968-07-29;54.71
1968-07-30;54.78
1968-08-01;54.5
1968-08-02;54.18
1968-08-05;54.36
1968-08-06;54.6
1968-08-08;54.47
1968-08-09;54.46
1968-08-12;54.99
1968-08-13;55.24
1968-08-15;55.02
1968-08-16;55.35
1968-08-19;55.54
1968-08-20;55.54
1968-08-22;55.37
1968-08-23;55.39
1968-08-26;55.48
1968-08-27;55.38
1968-08-29;55.34
1968-08-30;55.44
1968-09-03;55.65
1968-09-04;56
1968-09-05;56.4
1968-09-06;56.63
1968-09-09;56.69
1968-09-10;56.42
1968-09-12;56.29
1968-09-13;56.5
1968-09-16;56.71
1968-09-17;56.86
1968-09-19;56.96
1968-09-20;57.03
1968-09-23;57.33
1968-09-24;57.54
1968-09-26;57.44
1968-09-27;57.47
1968-09-30;57.7
1968-10-01;57.81
1968-10-03;58.04
1968-10-04;58.23
1968-10-07;58.23
1968-10-08;58.22
1968-10-10;57.98
1968-10-11;57.98
1968-10-14;58.07
1968-10-15;58.2
1968-10-17;58.5
1968-10-18;58.91
1968-10-21;58.99
1968-10-22;58.79
1968-10-24;58.45
1968-10-25;58.63
1968-10-28;58.43
1968-10-29;58.1
1968-10-31;58.17
1968-11-01;57.95
1968-11-04;57.97
1968-11-06;58.08
1968-11-07;58.19
1968-11-08;58.47
1968-11-12;58.93
1968-11-13;59.26
1968-11-14;59.32
1968-11-15;59.65
1968-11-18;59.74
1968-11-19;59.91
1968-11-21;59.86
1968-11-22;60.09
1968-11-25;60.23
1968-11-26;60.65
1968-11-27;60.91
1968-11-29;61.27
1968-12-02;61.14
1968-12-03;61.09
1968-12-05;60.88
1968-12-06;61.03
1968-12-09;60.91
1968-12-10;60.81
1968-12-12;60.78
1968-12-13;60.96
1968-12-16;60.72
1968-12-17;60.46
1968-12-19;60.61
1968-12-20;60.3
1968-12-23;59.67
1968-12-24;59.57
1968-12-26;59.64
1968-12-27;59.42
1968-12-30;58.84
1968-12-31;58.9
1969-01-02;58.94
1969-01-03;58.95
1969-01-06;58.08
1969-01-07;57.35
1969-01-08;57.07
1969-01-09;57.3
1969-01-10;57.14
1969-01-13;56.77
1969-01-14;57.17
1969-01-15;57.5
1969-01-16;57.81
1969-01-17;57.76
1969-01-20;57.63
1969-01-21;57.58
1969-01-22;57.81
1969-01-23;58.11
1969-01-24;58.1
1969-01-27;58.1
1969-01-28;58.1
1969-01-29;58.14
1969-01-30;58.16
1969-01-31;58.38
1969-02-03;58.3
1969-02-04;58.31
1969-02-05;58.42
1969-02-06;58.6
1969-02-07;58.64
1969-02-11;58.7
1969-02-12;58.68
1969-02-13;58.7
1969-02-14;58.64
1969-02-17;57.93
1969-02-18;57.28
1969-02-19;56.83
1969-02-20;56.31
1969-02-24;55.59
1969-02-25;55.19
1969-02-26;55.44
1969-02-27;55.21
1969-02-28;55.19
1969-03-03;55.28
1969-03-04;55.82
1969-03-05;56.01
1969-03-06;55.39
1969-03-07;55.33
1969-03-10;55.51
1969-03-11;55.72
1969-03-12;55.57
1969-03-13;55.18
1969-03-14;54.93
1969-03-17;55.06
1969-03-18;55.22
1969-03-19;55.62
1969-03-20;55.98
1969-03-21;55.87
1969-03-24;55.78
1969-03-25;55.84
1969-03-26;56.21
1969-03-27;56.62
1969-03-28;56.85
1969-04-01;56.77
1969-04-02;56.39
1969-04-03;56.36
1969-04-07;55.89
1969-04-08;56.03
1969-04-09;56.49
1969-04-10;56.77
1969-04-11;56.82
1969-04-14;56.75
1969-04-15;56.72
1969-04-16;56.23
1969-04-17;56.32
1969-04-18;56.56
1969-04-21;56.15
1969-04-22;56.25
1969-04-23;56.32
1969-04-24;56.57
1969-04-25;56.84
1969-04-28;57.03
1969-04-29;57.48
1969-04-30;57.99
1969-05-01;57.93
1969-05-02;58.17
1969-05-05;58.4
1969-05-06;58.66
1969-05-07;58.54
1969-05-08;58.76
1969-05-09;58.76
1969-05-12;58.67
1969-05-13;58.9
1969-05-14;59.32
1969-05-15;59.14
1969-05-16;59.16
1969-05-19;58.66
1969-05-20;58.16
1969-05-21;58.41
1969-05-22;58.5
1969-05-23;58.48
1969-05-26;58.36
1969-05-27;57.9
1969-05-28;57.74
1969-05-29;57.87
1969-06-02;57.58
1969-06-03;57.39
1969-06-04;57.39
1969-06-05;57.45
1969-06-06;57.08
1969-06-09;56.54
1969-06-10;56.09
1969-06-11;55.56
1969-06-12;54.8
1969-06-13;55
1969-06-16;54.81
1969-06-17;54.54
1969-06-18;54.44
1969-06-19;54.01
1969-06-20;53.65
1969-06-23;53.32
1969-06-24;53.9
1969-06-25;53.72
1969-06-26;53.84
1969-06-27;53.88
1969-06-30;54.13
1969-07-01;54.35
1969-07-02;54.82
1969-07-03;55.21
1969-07-07;54.87
1969-07-08;54.12
1969-07-09;53.7
1969-07-10;52.85
1969-07-11;53.05
1969-07-14;52.37
1969-07-15;52.15
1969-07-16;52.7
1969-07-17;52.98
1969-07-18;52.58
1969-07-22;51.78
1969-07-23;51.52
1969-07-24;51.33
1969-07-25;50.82
1969-07-28;49.73
1969-07-29;49.31
1969-07-30;49.55
1969-07-31;50.64
1969-08-01;51.62
1969-08-04;51.35
1969-08-05;51.57
1969-08-06;51.88
1969-08-07;51.94
1969-08-08;51.9
1969-08-11;51.59
1969-08-12;51.17
1969-08-13;51.19
1969-08-14;51.56
1969-08-15;51.98
1969-08-18;52.35
1969-08-19;52.64
1969-08-20;52.64
1969-08-21;52.78
1969-08-22;53.11
1969-08-25;52.61
1969-08-26;52.21
1969-08-27;52.37
1969-08-28;52.58
1969-08-29;52.94
1969-09-02;52.9
1969-09-03;52.55
1969-09-04;52.11
1969-09-05;51.8
1969-09-08;51.28
1969-09-09;51.65
1969-09-10;52.49
1969-09-11;52.15
1969-09-12;52.19
1969-09-15;52.5
1969-09-16;52.6
1969-09-17;52.47
1969-09-18;52.65
1969-09-19;52.84
1969-09-22;53.07
1969-09-23;53.08
1969-09-24;52.98
1969-09-25;52.59
1969-09-26;52.23
1969-09-29;51.85
1969-09-30;51.69
1969-10-01;51.37
1969-10-02;51.8
1969-10-03;51.77
1969-10-06;51.86
1969-10-07;51.74
1969-10-08;51.49
1969-10-09;51.66
1969-10-10;51.98
1969-10-13;52.63
1969-10-14;53.32
1969-10-15;53.36
1969-10-16;53.76
1969-10-17;53.72
1969-10-20;53.88
1969-10-21;54.31
1969-10-22;54.66
1969-10-23;54.49
1969-10-24;54.89
1969-10-27;54.83
1969-10-28;54.68
1969-10-29;54.2
1969-10-30;54.28
1969-10-31;54.45
1969-11-03;54.41
1969-11-04;54.46
1969-11-05;54.7
1969-11-06;54.73
1969-11-07;55.07
1969-11-10;55.12
1969-11-11;54.94
1969-11-12;54.86
1969-11-13;54.56
1969-11-14;54.33
1969-11-17;53.92
1969-11-18;53.9
1969-11-19;53.63
1969-11-20;53.04
1969-11-21;52.68
1969-11-24;52.12
1969-11-25;51.98
1969-11-26;52.16
1969-11-28;52.49
1969-12-01;52.12
1969-12-02;51.78
1969-12-03;51.18
1969-12-04;51.36
1969-12-05;51.2
1969-12-08;50.59
1969-12-08;50.51
1969-12-10;50.47
1969-12-11;50.51
1969-12-12;50.66
1969-12-15;50.52
1969-12-16;50.04
1969-12-17;49.78
1969-12-18;50.58
1969-12-19;51
1969-12-22;50.53
1969-12-23;50.28
1969-12-24;50.87
1969-12-26;51.29
1969-12-29;50.93
1969-12-30;51.23
1969-12-31;51.53
1970-01-02;52.1
1970-01-05;52.36
1970-01-06;52
1970-01-07;51.92
1970-01-08;51.96
1970-01-09;51.82
1970-01-12;51.41
1970-01-13;51.44
1970-01-14;51.34
1970-01-15;51.34
1970-01-16;50.94
1970-01-19;50.27
1970-01-20;50.36
1970-01-21;50.4
1970-01-22;50.43
1970-01-23;49.93
1970-01-26;49.38
1970-01-27;49.04
1970-01-28;48.59
1970-01-29;47.94
1970-01-30;47.54
1970-02-02;47.92
1970-02-03;48.53
1970-02-04;48.19
1970-02-05;47.98
1970-02-06;48.24
1970-02-09;48.64
1970-02-10;48.2
1970-02-11;48.65
1970-02-12;48.57
1970-02-13;48.49
1970-02-16;48.45
1970-02-17;48.36
1970-02-18;48.93
1970-02-19;49.09
1970-02-20;49.2
1970-02-24;49.2
1970-02-25;49.97
1970-02-26;49.73
1970-02-27;50.1
1970-03-02;50.19
1970-03-03;50.48
1970-03-04;50.38
1970-03-05;50.37
1970-03-06;50.04
1970-03-09;49.51
1970-03-10;49.58
1970-03-11;49.53
1970-03-12;49.31
1970-03-13;49.02
1970-03-16;48.48
1970-03-17;48.67
1970-03-18;48.8
1970-03-19;48.69
1970-03-20;48.47
1970-03-23;48.44
1970-03-24;48.93
1970-03-25;49.96
1970-03-26;50.03
1970-03-30;49.88
1970-03-31;49.87
1970-04-01;50.1
1970-04-02;49.93
1970-04-03;49.7
1970-04-06;49.3
1970-04-07;49.15
1970-04-08;49.07
1970-04-09;49.04
1970-04-10;48.86
1970-04-13;48.46
1970-04-14;48.07
1970-04-15;47.94
1970-04-16;47.44
1970-04-17;47.29
1970-04-20;47.39
1970-04-21;47.14
1970-04-22;46.47
1970-04-23;45.74
1970-04-24;45.53
1970-04-27;44.74
1970-04-28;44.08
1970-04-29;44.98
1970-04-30;44.82
1970-05-01;44.75
1970-05-04;43.59
1970-05-05;43.11
1970-05-06;43.6
1970-05-07;43.85
1970-05-08;43.61
1970-05-11;43.13
1970-05-12;42.73
1970-05-13;41.99
1970-05-14;41.37
1970-05-15;42.14
1970-05-18;42.16
1970-05-19;41.35
1970-05-20;40.27
1970-05-21;39.46
1970-05-22;39.44
1970-05-25;38.2
1970-05-26;37.69
1970-05-27;39.65
1970-05-28;40.69
1970-05-29;41.78
1970-06-01;42.53
1970-06-02;42.54
1970-06-03;43.01
1970-06-04;42.36
1970-06-05;41.66
1970-06-08;41.71
1970-06-09;41.7
1970-06-10;41.28
1970-06-11;40.7
1970-06-12;40.54
1970-06-15;40.67
1970-06-16;41.59
1970-06-17;41.5
1970-06-18;41.76
1970-06-19;42.06
1970-06-22;41.8
1970-06-23;40.78
1970-06-24;40.33
1970-06-25;40.32
1970-06-26;40.02
1970-06-29;39.68
1970-06-30;39.58
1970-07-01;39.71
1970-07-02;39.64
1970-07-06;39.02
1970-07-07;38.7
1970-07-08;39.63
1970-07-09;40.26
1970-07-10;40.54
1970-07-13;40.51
1970-07-14;40.46
1970-07-15;40.87
1970-07-16;41.44
1970-07-17;42.15
1970-07-20;42.21
1970-07-21;41.8
1970-07-22;41.85
1970-07-23;42.38
1970-07-24;42.28
1970-07-27;42.19
1970-07-28;42.28
1970-07-29;42.45
1970-07-30;42.47
1970-07-31;42.43
1970-08-03;41.9
1970-08-04;41.96
1970-08-05;41.94
1970-08-06;41.86
1970-08-07;41.97
1970-08-10;41.36
1970-08-11;41.14
1970-08-12;40.95
1970-08-13;40.59
1970-08-14;40.77
1970-08-17;40.83
1970-08-18;41.28
1970-08-19;41.66
1970-08-20;41.98
1970-08-21;42.85
1970-08-24;43.85
1970-08-25;43.98
1970-08-26;44.09
1970-08-27;44.04
1970-08-28;44.48
1970-08-31;44.32
1970-09-01;44.03
1970-09-02;44.01
1970-09-03;44.64
1970-09-04;45.11
1970-09-08;45.27
1970-09-09;45.14
1970-09-10;44.89
1970-09-11;45.04
1970-09-14;44.82
1970-09-15;44.39
1970-09-16;44.64
1970-09-17;45
1970-09-18;45.19
1970-09-21;44.82
1970-09-22;44.66
1970-09-23;45.27
1970-09-24;45.91
1970-09-25;45.97
1970-09-28;45.93
1970-09-29;46.19
1970-09-30;46.14
1970-10-01;46.19
1970-10-02;46.66
1970-10-05;47.35
1970-10-06;47.49
1970-10-07;47.49
1970-10-08;46.96
1970-10-09;46.51
1970-10-12;46.05
1970-10-13;45.95
1970-10-14;46.02
1970-10-15;46.23
1970-10-16;45.98
1970-10-19;45.36
1970-10-20;45.62
1970-10-21;45.6
1970-10-22;45.42
1970-10-23;45.64
1970-10-26;45.4
1970-10-27;45.27
1970-10-28;45.41
1970-10-29;45.34
1970-10-30;45.28
1970-11-02;45.44
1970-11-03;45.84
1970-11-04;45.92
1970-11-05;45.81
1970-11-06;45.85
1970-11-09;46.09
1970-11-10;46.16
1970-11-11;46.31
1970-11-12;45.81
1970-11-13;45.38
1970-11-16;45.3
1970-11-17;45.33
1970-11-18;45
1970-11-19;45.04
1970-11-20;45.47
1970-11-23;45.73
1970-11-24;46
1970-11-25;46.18
1970-11-27;46.64
1970-11-30;47.41
1970-12-01;47.56
1970-12-02;48.14
1970-12-03;48.37
1970-12-04;48.65
1970-12-07;48.94
1970-12-08;48.7
1970-12-09;48.72
1970-12-10;48.9
1970-12-11;49.08
1970-12-14;48.8
1970-12-15;48.73
1970-12-16;48.79
1970-12-17;48.95
1970-12-18;49.06
1970-12-21;48.93
1970-12-22;48.99
1970-12-23;49.06
1970-12-24;49.37
1970-12-28;49.63
1970-12-29;50.19
1970-12-30;50.29
1970-12-31;50.23
1971-01-04;49.73
1971-01-05;50.13
1971-01-06;50.49
1971-01-07;50.52
1971-01-08;50.46
1971-01-11;50.4
1971-01-12;50.89
1971-01-13;50.85
1971-01-14;51.01
1971-01-15;51.16
1971-01-18;51.34
1971-01-19;51.49
1971-01-20;51.53
1971-01-21;51.77
1971-01-22;52.11
1971-01-25;52.35
1971-01-26;52.49
1971-01-27;52.12
1971-01-28;52.3
1971-01-29;52.64
1971-02-01;52.96
1971-02-02;53
1971-02-03;53.13
1971-02-04;53.16
1971-02-05;53.36
1971-02-08;53.66
1971-02-09;53.65
1971-02-10;53.59
1971-02-11;53.85
1971-02-12;54.16
1971-02-16;54.29
1971-02-17;54.04
1971-02-18;53.68
1971-02-19;53.2
1971-02-22;52.62
1971-02-23;52.86
1971-02-24;53.23
1971-02-25;53.31
1971-02-26;53.19
1971-03-01;53.34
